tmstmp, lat, lon, vid, rt, pid
20230626 20:23:05,29.6579,-82.40884,1205,75,500615
20230626 20:23:05,29.644903333333332,-82.34022833333331,2303,13,479
20230626 20:23:07,29.645224999999996,-82.34698666666667,1017,35,199
20230626 20:23:15,29.625238333333332,-82.38782,1401,75,348
20230626 20:23:05,29.6579,-82.40884,1205,75,500615
20230626 20:23:21,29.644905,-82.34022666666667,2303,13,479
20230626 20:23:23,29.645224999999996,-82.34698666666667,1017,35,199
20230626 20:23:15,29.625238333333332,-82.38782,1401,75,348
20230626 20:23:20,29.6579,-82.40884,1205,75,500615
20230626 20:23:36,29.644905,-82.34022666666667,2303,13,479
20230626 20:23:44,29.645224999999996,-82.34698666666667,1017,35,199
20230626 20:23:32,29.625238333333332,-82.38782,1401,75,348
20230626 20:23:35,29.6579,-82.40884,1205,75,500615
20230626 20:23:51,29.644905,-82.34022666666667,2303,13,479
20230626 20:23:59,29.645224999999996,-82.34698666666667,1017,35,199
20230626 20:23:47,29.625238333333332,-82.38782,1401,75,348
20230626 20:23:50,29.6579,-82.40884,1205,75,500615
20230626 20:24:07,29.644905,-82.34022833333331,2303,13,479
20230626 20:23:59,29.645224999999996,-82.34698666666667,1017,35,199
20230626 20:24:02,29.625238333333332,-82.38782,1401,75,348
20230626 20:24:06,29.6579,-82.40884,1205,75,500615
20230626 20:24:22,29.644905,-82.34022833333331,2303,13,479
20230626 20:24:31,29.645224999999996,-82.34698666666667,1017,35,199
20230626 20:24:18,29.625238333333332,-82.38782,1401,75,348
20230626 20:24:21,29.6579,-82.40884,1205,75,500615
20230626 20:24:37,29.644909999999996,-82.340225,2303,13,479
20230626 20:24:39,29.64545978617009,-82.34679818491873,1010,33,500643
20230626 20:24:31,29.645224999999996,-82.34698666666667,1017,35,199
20230626 20:24:33,29.625238333333332,-82.38782,1401,75,348
20230626 20:24:36,29.6579,-82.40884,1205,75,500615
20230626 20:24:53,29.644909999999996,-82.340225,2303,13,479
20230626 20:24:55,29.64545978617009,-82.34679818491873,1010,33,500643
20230626 20:24:46,29.645224999999996,-82.34698666666667,1017,35,199
20230626 20:24:48,29.625238333333332,-82.38782,1401,75,348
20230626 20:24:52,29.6579,-82.40884,1205,75,500615
20230626 20:25:10,29.64545978617009,-82.34679818491873,1010,33,500643
20230626 20:25:04,29.64514,-82.346983,1017,35,207
20230626 20:25:04,29.625238333333332,-82.38782,1401,75,348
20230626 20:25:07,29.6579,-82.40884,1205,75,500615
20230626 20:25:31,29.645440029189675,-82.34681401730289,1010,33,500643
20230626 20:25:20,29.64514,-82.346983,1017,35,207
20230626 20:25:19,29.625238333333332,-82.38782,1401,75,348
20230626 20:25:23,29.6579,-82.40884,1205,75,500615
20230626 20:25:35,29.64514,-82.346983,1017,35,207
20230626 20:25:34,29.625238333333332,-82.38782,1401,75,348
20230626 20:25:38,29.6579,-82.40884,1205,75,500615
20230626 20:25:50,29.625238333333332,-82.38782,1401,75,348
20230626 20:25:53,29.6579,-82.40884,1205,75,500615
20230626 20:26:21,29.625238333333332,-82.38782,1401,75,348
20230626 20:26:09,29.6579,-82.40884,1205,75,500615
20230626 20:26:21,29.625238333333332,-82.38782,1401,75,348
20230626 20:26:24,29.6579,-82.40884,1205,75,500615
20230626 20:26:36,29.625238333333332,-82.38782,1401,75,348
20230626 20:26:40,29.6579,-82.40884,1205,75,500615
20230626 20:26:52,29.625238333333332,-82.38782,1401,75,348
20230626 20:26:55,29.6579,-82.40884,1205,75,500615
20230626 20:27:07,29.625238333333332,-82.38782,1401,75,348
20230626 20:27:11,29.6579,-82.40884,1205,75,500615
20230626 20:27:22,29.625238333333332,-82.38782,1401,75,348
20230626 20:27:26,29.6579,-82.40884,1205,75,500615
20230626 20:27:38,29.625238333333332,-82.38782,1401,75,348
20230626 20:27:41,29.6579,-82.40884,1205,75,500615
20230626 20:27:53,29.625238333333332,-82.38782,1401,75,348
20230626 20:27:57,29.6579,-82.40884,1205,75,500615
20230626 20:28:09,29.625238333333332,-82.38782,1401,75,348
20230626 20:28:12,29.6579,-82.40884,1205,75,500615
20230626 20:28:24,29.625238333333332,-82.38782,1401,75,348
20230626 20:28:28,29.6579,-82.40884,1205,75,500615
20230626 20:28:39,29.625238333333332,-82.38782,1401,75,348
20230626 20:28:43,29.6579,-82.40884,1205,75,500615
20230626 20:28:55,29.625238333333332,-82.38782,1401,75,348
20230626 20:28:59,29.6579,-82.40884,1205,75,500615
20230626 20:29:04,29.65772768261364,-82.40887116240201,1802,5,323
20230626 20:29:10,29.625238333333332,-82.38782,1401,75,348
20230626 20:28:59,29.6579,-82.40884,1205,75,500615
20230626 20:29:19,29.65772768261364,-82.40887116240201,1802,5,323
20230626 20:29:26,29.625238333333332,-82.38782,1401,75,348
20230626 20:29:30,29.6579,-82.40884,1205,75,500615
20230626 20:29:34,29.65772768261364,-82.40887116240201,1802,5,323
20230626 20:29:42,29.625238333333332,-82.38782,1401,75,348
20230626 20:29:46,29.6579,-82.40884,1205,75,500615
20230626 20:29:55,29.65772768261364,-82.40887116240201,1802,5,323
20230626 20:29:57,29.625238333333332,-82.38782,1401,75,348
20230626 20:30:06,29.625251666666667,-82.38803833333334,708,1,477
20230626 20:30:13,29.625238333333332,-82.38782,1401,75,348
20230626 20:30:21,29.625274,-82.387891,708,1,477
20230626 20:30:26,29.6252747,-82.38789,1401,75,500615
20230626 20:30:43,29.6252747,-82.38789,1401,75,500615
20230626 20:31:00,29.6252747,-82.38789,1401,75,500615
20230627 10:29:29,29.657686224067913,-82.40887140381872,1810,5,323
20230627 10:29:27,29.645905000000003,-82.32262999999999,710,11,44
20230627 10:29:30,29.645713333333333,-82.34623500000001,4378,150,194
20230627 10:29:45,29.657686224067913,-82.40887140381872,1810,5,323
20230627 10:29:43,29.645905000000003,-82.32262999999999,710,11,44
20230627 10:29:45,29.645713333333333,-82.34623500000001,4378,150,194
20230627 10:30:01,29.657686224067913,-82.40887140381872,1810,5,323
20230627 10:29:55,29.639000000000003,-82.34408166666665,1902,8,328
20230627 10:30:04,29.645546,-82.322725,710,11,44
20230627 10:30:06,29.645713333333333,-82.34623500000001,4378,150,194
20230627 10:30:16,29.657686224067913,-82.40887140381872,1810,5,323
20230627 10:30:48,29.657686224067913,-82.40887140381872,1810,5,323
20230627 10:30:48,29.657686224067913,-82.40887140381872,1810,5,323
20230627 10:31:04,29.657686224067913,-82.40887140381872,1810,5,323
20230627 10:30:55,29.6364612702357,-82.27246,2301,7,349
20230627 10:31:19,29.657686224067913,-82.40887140381872,1810,5,323
20230627 10:31:25,29.6364612702357,-82.27246,2301,7,349
20230627 10:31:25,29.64514,-82.3469849,2004,33,500643
20230627 10:31:35,29.657686224067913,-82.40887140381872,1810,5,323
20230627 10:31:41,29.6364612702357,-82.27246,2301,7,349
20230627 10:31:41,29.64514,-82.3469849,2004,33,500643
20230627 10:31:50,29.657686224067913,-82.40887140381872,1810,5,323
20230627 10:31:41,29.6364612702357,-82.27246,2301,7,349
20230627 10:31:41,29.64514,-82.3469849,2004,33,500643
