id,vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,spd,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd
2460,702,20221018 18:17:14,29.686239037035527,-82.3389763116182,1,346,6,PineRidge/Walmart,21569,False,3,14001,709895,10061,,0,EMPTY,64800,2022-10-18
2461,2105,20221018 18:17:15,29.636385727821825,-82.28078144257938,0,342,7,E. Meadows,24598,False,35,334,707961,10071,,0,EMPTY,64800,2022-10-18
2462,1902,20221018 18:17:13,29.638195499093392,-82.34587705231074,70,500393,8,PineRidge/Walmart,8067,False,33,374,707985,10082,,0,EMPTY,65400,2022-10-18
2463,1808,20221018 18:17:16,29.709423505907846,-82.35594607028372,164,500393,8,PineRidge/Walmart,55543,False,11,14264,710033,10081,,0,EMPTY,62580,2022-10-18
2465,712,20221018 18:17:13,29.649785029181533,-82.34454161405559,91,500433,9,Reitz Union/UF Campus,21922,False,3,10970,709051,10092,,0,EMPTY,63960,2022-10-18
2467,802,20221018 18:17:14,29.65440522233025,-82.33923,180,22,10,Rosa Parks/Downtown,36404,False,0,636,708038,10101,,0,EMPTY,64800,2022-10-18
2471,2110,20221018 18:17:17,29.6401084705746,-82.33929639484363,3,35,16,UF Health,12137,False,8,8973,708798,10161,,0,EMPTY,65220,2022-10-18
2472,2102,20221018 18:17:15,29.6380062,-82.32572,13,500382,17,Rosa Parks / Downtown,8298,True,0,8900,708747,10171,,0,EMPTY,64800,2022-10-18
2473,1604,20221018 18:17:13,29.63764619926276,-82.37172132991302,88,500354,20,Reitz Union / UF Campus,20346,False,20,14533,710271,10204,,0,EMPTY,63900,2022-10-18
2480,1202,20221018 18:17:12,29.6252747,-82.38789,177,500462,33,Midtown,0,True,0,13098,709328,10333,,0,EMPTY,65160,2022-10-18
2481,1017,20221018 18:17:14,29.6479782101485,-82.34966,0,500462,33,Midtown,28845,False,15,13097,709327,10334,,0,EMPTY,64080,2022-10-18
2484,1005,20221018 18:17:14,29.63995579696016,-82.34612263761419,176,207,35,SW 35TH PLACE,1937,False,11,14753,710441,10353,,0,EMPTY,64740,2022-10-18
2488,1207,20221018 18:17:14,29.63959720758255,-82.34193170059788,67,500411,37,Reitz Union / UF Campus,26357,False,0,11894,709153,10372,,0,EMPTY,63900,2022-10-18
2490,1204,20221018 18:17:16,29.642728724377537,-82.34675587842662,156,189,38,Enclave,4133,False,22,2246,708301,10384,,0,EMPTY,64560,2022-10-18
2493,1903,20221018 18:17:13,29.638085,-82.34625,68,500335,43,Santa Fe,4965,False,15,2403,708384,10432,,0,EMPTY,65220,2022-10-18
2494,2112,20221018 18:17:13,29.67756468134429,-82.38897,0,500335,43,Santa Fe,36011,False,16,2401,708383,10431,,0,EMPTY,62520,2022-10-18
